,hazard,time
1,0.000580936,1.248459959
2,0.000580936,1.379876797
3,0.001163468,1.478439425
4,0.001163468,2.069815195
5,0.001746998,2.36550308
6,0.001746998,2.759753593
7,0.002332453,3.055441478
8,0.002925927,3.252566735
9,0.003527046,3.515400411
10,0.004130535,3.613963039
11,0.004130535,3.679671458
12,0.004130535,4.205338809
13,0.004741352,4.271047228
14,0.005353022,4.468172485
15,0.005966482,4.533880903
16,0.006582283,4.862422998
17,0.007199446,4.928131417
18,0.007828005,5.388090349
19,0.007828005,5.552361396
20,0.008457784,5.585215606
21,0.009104848,5.749486653
22,0.009755666,5.782340862
23,0.010408407,5.848049281
24,0.011063619,5.880903491
25,0.01172139,6.045174538
26,0.012379828,6.406570842
27,0.013043046,6.669404517
28,0.013707331,6.899383984
29,0.014373009,6.932238193
30,0.015039129,6.965092402
31,0.015708049,6.997946612
32,0.01637794,7.09650924
33,0.017049313,7.326488706
34,0.017732631,7.490759754
35,0.018418422,7.523613963
36,0.019109675,7.753593429
37,0.019804093,7.950718686
38,0.02049972,8.344969199
39,0.021198369,8.377823409
40,0.021898957,8.542094456
41,0.022601648,8.837782341
42,0.023310045,8.936344969
43,0.02401869,9.002053388
44,0.024735304,9.823408624
45,0.026174893,10.25051335
46,0.026174893,10.57905544
47,0.026899407,10.74332649
48,0.026899407,10.80903491
49,0.027625775,10.97330595
50,0.028360719,11.03901437
51,0.029100354,11.17043121
52,0.029100354,11.26899384
53,0.029841911,11.66324435
54,0.029841911,11.69609856
55,0.029841911,11.8275154
56,0.030593737,11.89322382
57,0.031346899,12.02464066
58,0.032878773,12.28747433
59,0.032878773,12.45174538
60,0.033677464,12.58316222
61,0.034478679,12.84599589
62,0.036911086,12.91170431
63,0.037740389,13.5687885
64,0.038574421,13.66735113
65,0.039409855,14.9486653
66,0.04024762,15.24435318
67,0.04108696,15.77002053
68,0.041936727,15.93429158
69,0.042790701,16.09856263
70,0.043646339,16.42710472
71,0.044515724,16.52566735
72,0.045388735,16.75564682
73,0.046273945,16.78850103
74,0.046273945,17.01848049
75,0.047161935,17.21560575
76,0.048056233,17.47843943
77,0.048954762,17.83983573
78,0.049853474,18.75975359
79,0.050752947,19.08829569
80,0.051653336,19.51540041
81,0.05255713,19.71252567
82,0.053462707,19.77823409
83,0.054373843,19.87679671
84,0.054373843,19.90965092
85,0.055289793,19.97535934
86,0.055289793,20.27104723
87,0.056219679,20.5338809
88,0.057151478,20.73100616
89,0.058085473,20.89527721
90,0.059022129,21.28952772
91,0.059022129,21.38809035
92,0.059961952,21.42094456
93,0.059961952,21.48665298
94,0.060909063,21.61806982
95,0.061861998,21.78234086
96,0.062817233,21.9137577
97,0.062817233,22.04517454
98,0.062817233,22.11088296
99,0.063777844,22.43942505
100,0.06474656,22.53798768
101,0.065718814,22.73511294
102,0.066695739,22.89938398
103,0.067674516,23.26078029
104,0.067674516,24.0164271
105,0.06866485,24.37782341
106,0.06866485,24.60780287
107,0.069665031,25.724846
108,0.070668964,25.79055441
109,0.070668964,26.15195072
110,0.071674716,26.64476386
111,0.073710468,26.80903491
112,0.073710468,27.59753593
113,0.074736675,28.05749487
114,0.075770947,28.1889117
115,0.076809734,28.48459959
116,0.077850212,28.91170431
117,0.078905758,29.01026694
118,0.079969879,29.30595483
